Date Time,Tin,Tout,GasUsed,Srd
2018-11-07 19:00:00,18.38263636,9.669,0.556770667,1
2018-11-07 20:00:00,18.28736364,9.275,4.3428112,2
2018-11-07 21:00:00,18.31345455,8.978,2.115728533,2
2018-11-07 22:00:00,18.23563636,8.978,0.7794789329999999,2
2018-11-07 23:00:00,18.06263636,9.472000000000001,0.0,2
2018-11-08 00:00:00,17.69072727,8.182,0.0,3
2018-11-08 01:00:00,17.362000000000002,7.582000000000001,0.0,2
2018-11-08 02:00:00,17.11981818,7.682,0.0,1
2018-11-08 03:00:00,16.85154545,6.166,0.0,2
2018-11-08 04:00:00,16.60909091,5.037,0.0,1
2018-11-08 05:00:00,16.35781818,5.45,0.0,2
2018-11-08 06:00:00,16.15854545,5.655,12.91707947,2
2018-11-08 07:00:00,17.56954545,5.45,1.224895467,2
2018-11-08 08:00:00,17.64736364,7.582000000000001,5.344998400000001,2
2018-11-08 09:00:00,17.72527273,9.275,0.6681248000000001,58
2018-11-08 10:00:00,17.87218182,11.040999999999999,0.0,100
2018-11-08 11:00:00,17.63881818,12.69,0.0,190
2018-11-08 12:00:00,17.44854545,13.558,0.0,158
2018-11-08 13:00:00,17.32736364,13.269,0.0,151
2018-11-08 14:00:00,17.06781818,13.075999999999999,0.0,127
2018-11-08 15:00:00,16.86018182,12.304,0.0,102
2018-11-08 16:00:00,16.660999999999998,11.139000000000001,0.0,63
2018-11-08 17:00:00,16.47054545,10.455,0.0,17
2018-11-08 18:00:00,16.28872727,9.176,12.91707947,2
2018-11-08 19:00:00,17.77718182,9.077,1.4476037330000002,2
2018-11-08 20:00:00,17.907,8.779,4.899581867,1
2018-11-08 21:00:00,17.69936364,8.481,3.451978132,1
2018-11-08 22:00:00,17.933,7.983,0.44541653299999995,2
2018-11-08 23:00:00,17.59563636,7.481,0.0,2
2018-11-09 00:00:00,17.111,7.28,0.0,1
2018-11-09 01:00:00,16.74754545,6.775,0.0,1
2018-11-09 02:00:00,16.42727273,6.877000000000001,0.0,2
2018-11-09 03:00:00,16.15854545,6.5729999999999995,0.0,1
2018-11-09 04:00:00,15.92436364,7.178999999999999,0.0,1
2018-11-09 05:00:00,15.74236364,7.782,0.0,1
2018-11-09 06:00:00,15.55127273,7.882000000000001,14.030620800000001,2
2018-11-09 07:00:00,17.085,8.182,1.781666133,1
2018-11-09 08:00:00,17.42254545,8.481,6.124477333,1
2018-11-09 09:00:00,17.29263636,8.879,0.6681248000000001,16
2018-11-09 10:00:00,17.42245455,9.472000000000001,0.0,37
2018-11-09 11:00:00,16.97254545,10.651,0.0,21
